stage,layer,output_shape
input,Input,1x3x227x227
features.00,Conv2d,1x96x55x55
features.01,ReLU,1x96x55x55
features.02,LocalResponseNorm,1x96x55x55
features.03,MaxPool2d,1x96x27x27
features.04,Conv2d,1x256x27x27
features.05,ReLU,1x256x27x27
features.06,LocalResponseNorm,1x256x27x27
features.07,MaxPool2d,1x256x13x13
features.08,Conv2d,1x384x13x13
features.09,ReLU,1x384x13x13
features.10,Conv2d,1x384x13x13
features.11,ReLU,1x384x13x13
features.12,Conv2d,1x256x13x13
features.13,ReLU,1x256x13x13
features.14,MaxPool2d,1x256x6x6
flatten,Flatten,1x9216
classifier.00,Dropout,1x9216
classifier.01,Linear,1x4096
classifier.02,ReLU,1x4096
classifier.03,Dropout,1x4096
classifier.04,Linear,1x4096
classifier.05,ReLU,1x4096
classifier.06,Linear,1x1000
parameters,AlexNetPaper,62378344
