epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.1,2.0410113833236694,0.2061,1.9931753486633301,0.2385
2,0.1,1.864948691177368,0.29016,1.837408688735962,0.3286
3,0.1,1.7888957683944702,0.32796,1.9449250034332275,0.2934
4,0.1,1.7355220992660523,0.34898,2.1484256343841555,0.2658
5,0.1,1.6854947075653077,0.37376,1.7741512670516968,0.3399
6,0.1,1.6433929303359984,0.3903,1.925495799446106,0.332
7,0.1,1.6049011919403076,0.4056,1.7329631359100341,0.3938
8,0.1,1.5619731608581542,0.4236,1.5815724935531617,0.4186
9,0.1,1.5169693981170653,0.4412,1.5997369968414306,0.432
10,0.1,1.4879535517501832,0.45416,1.619123680496216,0.4067
