epoch,lr,train_loss,train_acc,test_loss,test_acc
1,0.1,1.6526591599273681,0.3754,1.5675789457321168,0.4521
2,0.1,1.1228636650085448,0.59434,1.0345892110824586,0.638
3,0.1,0.9019157552719116,0.68184,0.8976259362220764,0.6907
4,0.1,0.7510787707519532,0.73804,0.998033940410614,0.6814
5,0.1,0.6599247265243531,0.77186,0.6882730394363403,0.7639
6,0.1,0.5980013900089264,0.7924,0.7659315746307374,0.7525
7,0.1,0.5672644502639771,0.80394,0.7604992670059204,0.757
8,0.1,0.5245863047027588,0.81794,0.6422162225723267,0.7882
9,0.1,0.5050068399810791,0.82372,0.5797408129692078,0.8052
10,0.1,0.483843495426178,0.8336,0.7722595169067383,0.7534
