layer,type,output_shape
stem.0,Conv2d,1x16x32x32
stem.1,BatchNorm2d,1x16x32x32
stem.2,ReLU,1x16x32x32
stage1.0.layers.0,Conv2d,1x16x32x32
stage1.0.layers.1,BatchNorm2d,1x16x32x32
stage1.0.layers.2,ReLU,1x16x32x32
stage1.0.layers.3,Conv2d,1x16x32x32
stage1.0.layers.4,BatchNorm2d,1x16x32x32
stage1.0.layers.5,ReLU,1x16x32x32
stage1.1.layers.0,Conv2d,1x16x32x32
stage1.1.layers.1,BatchNorm2d,1x16x32x32
stage1.1.layers.2,ReLU,1x16x32x32
stage1.1.layers.3,Conv2d,1x16x32x32
stage1.1.layers.4,BatchNorm2d,1x16x32x32
stage1.1.layers.5,ReLU,1x16x32x32
stage1.2.layers.0,Conv2d,1x16x32x32
stage1.2.layers.1,BatchNorm2d,1x16x32x32
stage1.2.layers.2,ReLU,1x16x32x32
stage1.2.layers.3,Conv2d,1x16x32x32
stage1.2.layers.4,BatchNorm2d,1x16x32x32
stage1.2.layers.5,ReLU,1x16x32x32
stage2.0.layers.0,Conv2d,1x32x16x16
stage2.0.layers.1,BatchNorm2d,1x32x16x16
stage2.0.layers.2,ReLU,1x32x16x16
stage2.0.layers.3,Conv2d,1x32x16x16
stage2.0.layers.4,BatchNorm2d,1x32x16x16
stage2.0.layers.5,ReLU,1x32x16x16
stage2.1.layers.0,Conv2d,1x32x16x16
stage2.1.layers.1,BatchNorm2d,1x32x16x16
stage2.1.layers.2,ReLU,1x32x16x16
stage2.1.layers.3,Conv2d,1x32x16x16
stage2.1.layers.4,BatchNorm2d,1x32x16x16
stage2.1.layers.5,ReLU,1x32x16x16
stage2.2.layers.0,Conv2d,1x32x16x16
stage2.2.layers.1,BatchNorm2d,1x32x16x16
stage2.2.layers.2,ReLU,1x32x16x16
stage2.2.layers.3,Conv2d,1x32x16x16
stage2.2.layers.4,BatchNorm2d,1x32x16x16
stage2.2.layers.5,ReLU,1x32x16x16
stage3.0.layers.0,Conv2d,1x64x8x8
stage3.0.layers.1,BatchNorm2d,1x64x8x8
stage3.0.layers.2,ReLU,1x64x8x8
stage3.0.layers.3,Conv2d,1x64x8x8
stage3.0.layers.4,BatchNorm2d,1x64x8x8
stage3.0.layers.5,ReLU,1x64x8x8
stage3.1.layers.0,Conv2d,1x64x8x8
stage3.1.layers.1,BatchNorm2d,1x64x8x8
stage3.1.layers.2,ReLU,1x64x8x8
stage3.1.layers.3,Conv2d,1x64x8x8
stage3.1.layers.4,BatchNorm2d,1x64x8x8
stage3.1.layers.5,ReLU,1x64x8x8
stage3.2.layers.0,Conv2d,1x64x8x8
stage3.2.layers.1,BatchNorm2d,1x64x8x8
stage3.2.layers.2,ReLU,1x64x8x8
stage3.2.layers.3,Conv2d,1x64x8x8
stage3.2.layers.4,BatchNorm2d,1x64x8x8
stage3.2.layers.5,ReLU,1x64x8x8
pool,AdaptiveAvgPool2d,1x64x1x1
fc,Linear,1x10
