layer,type,output_shape
stem.0,Conv2d,1x16x32x32
stem.1,BatchNorm2d,1x16x32x32
stem.2,ReLU,1x16x32x32
stage1.0.residual.0,Conv2d,1x16x32x32
stage1.0.residual.1,BatchNorm2d,1x16x32x32
stage1.0.residual.2,ReLU,1x16x32x32
stage1.0.residual.3,Conv2d,1x16x32x32
stage1.0.residual.4,BatchNorm2d,1x16x32x32
stage1.0.shortcut,Identity,1x16x32x32
stage1.0.relu,ReLU,1x16x32x32
stage1.1.residual.0,Conv2d,1x16x32x32
stage1.1.residual.1,BatchNorm2d,1x16x32x32
stage1.1.residual.2,ReLU,1x16x32x32
stage1.1.residual.3,Conv2d,1x16x32x32
stage1.1.residual.4,BatchNorm2d,1x16x32x32
stage1.1.shortcut,Identity,1x16x32x32
stage1.1.relu,ReLU,1x16x32x32
stage1.2.residual.0,Conv2d,1x16x32x32
stage1.2.residual.1,BatchNorm2d,1x16x32x32
stage1.2.residual.2,ReLU,1x16x32x32
stage1.2.residual.3,Conv2d,1x16x32x32
stage1.2.residual.4,BatchNorm2d,1x16x32x32
stage1.2.shortcut,Identity,1x16x32x32
stage1.2.relu,ReLU,1x16x32x32
stage2.0.residual.0,Conv2d,1x32x16x16
stage2.0.residual.1,BatchNorm2d,1x32x16x16
stage2.0.residual.2,ReLU,1x32x16x16
stage2.0.residual.3,Conv2d,1x32x16x16
stage2.0.residual.4,BatchNorm2d,1x32x16x16
stage2.0.shortcut.0,Conv2d,1x32x16x16
stage2.0.shortcut.1,BatchNorm2d,1x32x16x16
stage2.0.relu,ReLU,1x32x16x16
stage2.1.residual.0,Conv2d,1x32x16x16
stage2.1.residual.1,BatchNorm2d,1x32x16x16
stage2.1.residual.2,ReLU,1x32x16x16
stage2.1.residual.3,Conv2d,1x32x16x16
stage2.1.residual.4,BatchNorm2d,1x32x16x16
stage2.1.shortcut,Identity,1x32x16x16
stage2.1.relu,ReLU,1x32x16x16
stage2.2.residual.0,Conv2d,1x32x16x16
stage2.2.residual.1,BatchNorm2d,1x32x16x16
stage2.2.residual.2,ReLU,1x32x16x16
stage2.2.residual.3,Conv2d,1x32x16x16
stage2.2.residual.4,BatchNorm2d,1x32x16x16
stage2.2.shortcut,Identity,1x32x16x16
stage2.2.relu,ReLU,1x32x16x16
stage3.0.residual.0,Conv2d,1x64x8x8
stage3.0.residual.1,BatchNorm2d,1x64x8x8
stage3.0.residual.2,ReLU,1x64x8x8
stage3.0.residual.3,Conv2d,1x64x8x8
stage3.0.residual.4,BatchNorm2d,1x64x8x8
stage3.0.shortcut.0,Conv2d,1x64x8x8
stage3.0.shortcut.1,BatchNorm2d,1x64x8x8
stage3.0.relu,ReLU,1x64x8x8
stage3.1.residual.0,Conv2d,1x64x8x8
stage3.1.residual.1,BatchNorm2d,1x64x8x8
stage3.1.residual.2,ReLU,1x64x8x8
stage3.1.residual.3,Conv2d,1x64x8x8
stage3.1.residual.4,BatchNorm2d,1x64x8x8
stage3.1.shortcut,Identity,1x64x8x8
stage3.1.relu,ReLU,1x64x8x8
stage3.2.residual.0,Conv2d,1x64x8x8
stage3.2.residual.1,BatchNorm2d,1x64x8x8
stage3.2.residual.2,ReLU,1x64x8x8
stage3.2.residual.3,Conv2d,1x64x8x8
stage3.2.residual.4,BatchNorm2d,1x64x8x8
stage3.2.shortcut,Identity,1x64x8x8
stage3.2.relu,ReLU,1x64x8x8
pool,AdaptiveAvgPool2d,1x64x1x1
fc,Linear,1x10
