epoch,train_loss,train_recon,train_kl,test_loss,test_recon,test_kl
1,167.499485,146.676256,20.823230,123.072364,95.556811,27.515553
2,116.941040,88.487610,28.453430,111.891260,84.371963,27.519297
3,110.564011,82.258599,28.305412,108.359374,81.277763,27.081611
4,107.906779,79.818369,28.088410,106.204266,79.048364,27.155901
5,106.274240,78.347099,27.927141,104.894333,77.071624,27.822709
6,105.172581,77.374078,27.798503,104.112544,75.730862,28.381682
7,104.387637,76.634815,27.752822,103.596815,75.001775,28.595040
8,103.756062,76.113074,27.642989,102.986685,75.333185,27.653500
9,103.247481,75.688607,27.558874,102.564142,74.962599,27.601544
10,102.680397,75.271704,27.408693,102.123653,73.882242,28.241411
11,102.331659,74.955669,27.375991,101.706377,73.959489,27.746888
12,102.005126,74.680746,27.324379,101.457867,74.410423,27.047444
13,101.696138,74.473604,27.222535,101.286110,74.793761,26.492348
14,101.427880,74.291925,27.135954,101.022925,74.656040,26.366886
15,101.199382,74.119323,27.080059,100.986330,73.615786,27.370544
16,100.975035,73.969505,27.005530,100.547333,73.586561,26.960771
17,100.788948,73.825600,26.963348,100.355934,73.599919,26.756015
18,100.554008,73.690192,26.863816,100.367956,74.628901,25.739055
19,100.391355,73.587373,26.803982,100.132479,74.354209,25.778269
20,100.296574,73.504233,26.792341,99.901379,72.785153,27.116226
