epoch,train_loss,train_recon,train_kl,test_loss,test_recon,test_kl
1,168.900183,153.015834,15.884349,133.912410,112.376732,21.535678
2,126.285852,103.338514,22.947338,119.076704,94.224637,24.852067
3,117.020854,92.565252,24.455602,113.251852,88.405697,24.846155
4,112.800279,87.696142,25.104137,110.428345,84.993521,25.434824
5,110.480987,85.013346,25.467641,108.996053,83.042241,25.953812
6,109.002954,83.326078,25.676876,107.576404,81.694254,25.882150
7,107.980244,82.186939,25.793306,106.907379,80.447261,26.460118
8,107.228453,81.338471,25.889981,106.463678,80.685374,25.778303
9,106.636538,80.700766,25.935772,105.637205,79.974744,25.662461
10,106.125582,80.143237,25.982345,105.486008,79.807874,25.678134
11,105.757603,79.733775,26.023827,105.147838,78.755950,26.391888
12,105.431612,79.365556,26.066056,104.703431,78.494177,26.209254
13,105.189431,79.083465,26.105965,104.639794,78.995913,25.643880
14,104.883531,78.788756,26.094774,104.446960,78.204119,26.242841
15,104.728993,78.590349,26.138644,104.399850,77.785751,26.614100
16,104.523030,78.353912,26.169118,104.156462,78.713403,25.443059
17,104.339878,78.187389,26.152488,103.869645,77.593814,26.275831
18,104.133164,77.996453,26.136711,103.737403,77.609438,26.127965
19,104.045568,77.891513,26.154055,103.839638,77.509588,26.330050
20,103.919802,77.747500,26.172302,103.729801,76.784271,26.945531
