epoch,train_loss,train_recon,train_kl,test_loss,test_recon,test_kl
1,190.938383,185.206188,5.732195,172.753992,167.673466,5.080525
2,168.862136,163.846709,5.015427,165.317561,160.330553,4.987009
3,164.136392,158.982576,5.153817,162.504086,157.264869,5.239218
4,161.873925,156.624671,5.249255,160.728571,155.649822,5.078749
5,160.265030,154.918278,5.346753,159.134863,153.721680,5.413183
6,158.835804,153.382305,5.453499,157.914357,152.554909,5.359448
7,157.536049,151.994609,5.541440,156.996274,151.474351,5.521922
8,156.380619,150.751863,5.628755,155.967077,150.318578,5.648499
9,155.440794,149.743433,5.697362,155.003008,149.362299,5.640709
10,154.574950,148.848099,5.726851,154.264527,148.449952,5.814575
11,153.823158,148.034985,5.788173,153.941344,148.204080,5.737265
12,153.233488,147.415224,5.818264,153.424991,147.693709,5.731283
13,152.680523,146.827349,5.853174,153.645169,147.571396,6.073774
14,152.239014,146.334546,5.904468,152.521269,146.726308,5.794961
15,151.763746,145.841585,5.922161,152.718971,146.617776,6.101195
16,151.339383,145.388253,5.951131,152.322100,146.484596,5.837504
17,150.960386,144.976166,5.984219,151.615802,145.641021,5.974782
18,150.603734,144.584695,6.019039,151.495307,145.562238,5.933069
19,150.285477,144.253913,6.031564,151.790251,145.747946,6.042305
20,150.016037,143.966492,6.049545,151.128340,144.992742,6.135599
