epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_seconds
1,1.9104001016235352,0.28216,1.809232834815979,0.3379,0.0002967221401100708,45.17629098892212
2,1.7366254436874389,0.35244,1.6950726593017578,0.3798,0.0002870318186463901,44.25489950180054
3,1.6502840175628661,0.38714,1.6237564136505127,0.4107,0.0002713525491562421,44.25152373313904
4,1.583219376449585,0.41512,1.5156449060440063,0.4506,0.00025036959095382875,43.581608295440674
5,1.5280901490020753,0.43806,1.470753863143921,0.4711,0.00022500000000000002,44.61771535873413
6,1.4818058926010131,0.45358,1.4198215320587158,0.4832,0.00019635254915624213,44.83587646484375
7,1.4402786866760253,0.47572,1.411800255393982,0.4936,0.00016567926949014806,44.21593117713928
8,1.4106509532546998,0.48354,1.3665862712860108,0.5081,0.00013432073050985205,44.48299813270569
9,1.38038707862854,0.49738,1.3355139068603517,0.5168,0.00010364745084375793,44.62678670883179
10,1.3579868688583374,0.50432,1.3396938312530517,0.5154,7.500000000000006e-05,45.29430150985718
11,1.3447902295684815,0.50822,1.2973803073883057,0.5379,4.963040904617133e-05,46.85969948768616
12,1.3338379486465455,0.51516,1.2959386653900147,0.5269,2.8647450843757904e-05,47.69311189651489
13,1.3232651969528197,0.51978,1.2968947448730468,0.5336,1.2968181353609857e-05,46.96804976463318
14,1.3141057845687867,0.52196,1.281829146385193,0.5389,3.2778598899291478e-06,45.849082708358765
15,1.3098241149520875,0.52468,1.2803086025238037,0.5377,0.0,45.933279037475586
