epoch,train_loss,train_acc,test_loss,test_acc,lr,epoch_seconds
1,0.9581227271080017,0.68605,0.4844833633899689,0.8516,0.00029265847744427303,47.92813158035278
2,0.4447719532012939,0.8614166666666667,0.2737434208512306,0.9183,0.0002713525491562421,47.65335202217102
3,0.28072124938964843,0.9145,0.19129976097941398,0.9447,0.00023816778784387096,49.98514199256897
4,0.21145927584171295,0.9354166666666667,0.1512093705818057,0.9561,0.0001963525491562421,47.99369764328003
5,0.17065286144415537,0.94765,0.1439758132070303,0.9559,0.00015,46.592217206954956
6,0.1469268948117892,0.9555833333333333,0.1204346345372498,0.9627,0.0001036474508437579,46.16076469421387
7,0.12802959838310876,0.9610833333333333,0.11274788059294223,0.9667,6.183221215612905e-05,46.36357116699219
8,0.11522057150602341,0.9646,0.10686781806945801,0.9681,2.86474508437579e-05,46.63272666931152
9,0.10648621760606766,0.9673333333333334,0.10336649102047085,0.9693,7.341522555726971e-06,46.20148944854736
10,0.10035670316219329,0.9695833333333334,0.1007583363931626,0.97,0.0,46.086562395095825
